従業員番号,勤務日,出社時刻,退社時刻,日数項目,日数項目名
0030268,2025/12/1,,,,
0030268,2025/12/2,,,,
0030268,2025/12/3,,,,
0030268,2025/12/4,,,,
0030268,2025/12/5,,,,
0030268,2025/12/6,,,,
0030268,2025/12/7,,,,
0030268,2025/12/8,,,,
0030268,2025/12/9,,,,
0030268,2025/12/10,,,,
0030268,2025/12/11,,,,
0030268,2025/12/12,,,,
0030268,2025/12/13,,,,
0030268,2025/12/14,,,,
0030268,2025/12/15,,,,
0030268,2025/12/16,,,,
0030268,2025/12/17,,,,
0030268,2025/12/18,,,,
0030268,2025/12/19,,,,
0030268,2025/12/20,,,,
0030268,2025/12/21,,,,
0030268,2025/12/22,,,,
0030268,2025/12/23,,,,
0030268,2025/12/24,,,,
0115591,2025/12/1,,,D062,法定休日
0115591,2025/12/2,845,1908,D001,出勤
0115591,2025/12/3,816,1829,D001,出勤
0115591,2025/12/4,1245,2417,D001,出勤
0115591,2025/12/5,1245,1702,D013,午後半休
0115591,2025/12/6,815,1814,D001,出勤
0115591,2025/12/7,845,1951,D001,出勤
0115591,2025/12/8,,,D062,法定休日
0115591,2025/12/9,817,1847,D001,出勤
0115591,2025/12/10,,,D061,所定休日
0115591,2025/12/11,745,1847,D001,出勤
0115591,2025/12/12,,,D061,所定休日
0115591,2025/12/13,816,1856,D001,出勤
0115591,2025/12/14,1245,2333,D001,出勤
0115591,2025/12/15,,,D062,法定休日
0115591,2025/12/16,,,D061,所定休日
0115591,2025/12/17,847,1842,D001,出勤
0115591,2025/12/18,815,1740,D001,出勤
0115591,2025/12/19,,,D061,所定休日
0115591,2025/12/20,750,1812,D001,出勤
0115591,2025/12/21,815,1818,D001,出勤
0115591,2025/12/22,845,1811,D001,出勤
0115591,2025/12/23,846,1808,D001,出勤
0115591,2025/12/24,,,,
0115592,2025/12/1,713,1809,D001,出勤
0115592,2025/12/2,755,1749,D001,出勤
0115592,2025/12/3,757,1747,D001,出勤
0115592,2025/12/4,752,1751,D001,出勤
0115592,2025/12/5,758,1737,D001,出勤
0115592,2025/12/6,,,D061,所定休日
0115592,2025/12/7,,,D062,法定休日
0115592,2025/12/8,816,1803,D001,出勤
0115592,2025/12/9,818,1753,D001,出勤
0115592,2025/12/10,,,D061,所定休日
0115592,2025/12/11,817,1756,D001,出勤
0115592,2025/12/12,802,1731,D001,出勤
0115592,2025/12/13,757,1746,D001,出勤
0115592,2025/12/14,,,D062,法定休日
0115592,2025/12/15,758,1736,D001,出勤
0115592,2025/12/16,1944,2935,D001,出勤
0115592,2025/12/17,1827,3024,D001,出勤
0115592,2025/12/18,1823,2947,D001,出勤
0115592,2025/12/19,,,D061,所定休日
0115592,2025/12/20,758,1739,D001,出勤
0115592,2025/12/21,,,D062,法定休日
0115592,2025/12/22,753,1733,D001,出勤
0115592,2025/12/23,820,1745,D001,出勤
0115592,2025/12/24,815,1802,D001,出勤
0115593,2025/12/1,,,D062,法定休日
0115593,2025/12/2,900,1800,D001,出勤
0115593,2025/12/3,900,1800,D001,出勤
0115593,2025/12/4,900,1800,D001,出勤
0115593,2025/12/5,,,D061,所定休日
0115593,2025/12/6,900,1801,D001,出勤
0115593,2025/12/7,900,1800,D001,出勤
0115593,2025/12/8,,,D062,法定休日
0115593,2025/12/9,900,2000,D001,出勤
0115593,2025/12/10,753,3205,D001,出勤
0115593,2025/12/11,,,D063,明け休日
0115593,2025/12/12,900,1800,D001,出勤
0115593,2025/12/13,900,1800,D001,出勤
0115593,2025/12/14,900,1800,D001,出勤
0115593,2025/12/15,,,D062,法定休日
0115593,2025/12/16,752,3207,D001,出勤
0115593,2025/12/17,,,,
0115593,2025/12/18,900,1800,D001,出勤
0115593,2025/12/19,,,D061,所定休日
0115593,2025/12/20,900,1800,D001,出勤
0115593,2025/12/21,900,1800,D001,出勤
0115593,2025/12/22,,,D062,法定休日
0115593,2025/12/23,900,1800,D001,出勤
0115593,2025/12/24,,,,
0115596,2025/12/1,857,1155,D001,出勤
0115596,2025/12/2,857,1803,D001,出勤
0115596,2025/12/3,855,1806,D001,出勤
0115596,2025/12/4,852,1104,D001,出勤
0115596,2025/12/5,851,1151,D001,出勤
0115596,2025/12/6,,,D061,所定休日
0115596,2025/12/7,,,D062,法定休日
0115596,2025/12/8,856,1805,D001,出勤
0115596,2025/12/9,858,1803,D001,出勤
0115596,2025/12/10,852,1505,D001,出勤
0115596,2025/12/11,852,1151,D001,出勤
0115596,2025/12/12,856,1805,D001,出勤
0115596,2025/12/13,,,D061,所定休日
0115596,2025/12/14,,,D062,法定休日
0115596,2025/12/15,858,1805,D001,出勤
0115596,2025/12/16,900,1151,D001,出勤
0115596,2025/12/17,901,1815,D001,出勤
0115596,2025/12/18,900,1805,D001,出勤
0115596,2025/12/19,857,1205,D001,出勤
0115596,2025/12/20,,,D061,所定休日
0115596,2025/12/21,,,D062,法定休日
0115596,2025/12/22,,,D061,所定休日
0115596,2025/12/23,900,1800,D001,出勤
0115596,2025/12/24,,,,
0115597,2025/12/1,749,1709,D001,出勤
0115597,2025/12/2,,,D062,法定休日
0115597,2025/12/3,,,D061,所定休日
0115597,2025/12/4,752,1710,D001,出勤
0115597,2025/12/5,750,1707,D001,出勤
